ensembl_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000038776,3.220235158,7.50495355,8.610057388,1.75E-07,0.000273241,7.370526277
ENSMUSG00000022040,-1.160051666,7.087498946,-4.339318052,0.00048136,0.035452696,-0.699875736
ENSMUSG00000040640,-1.732266949,4.460704361,-9.711141536,3.30E-08,0.000130004,9.162283896
ENSMUSG00000001576,-1.382527719,7.117455313,-8.938660454,1.05E-07,0.000226847,7.899018169
ENSMUSG00000074261,-1.539808514,5.401852633,-7.279957162,1.59E-06,0.001169711,5.17807891
ENSMUSG00000042379,-1.689368199,3.490196548,-4.024405668,0.000938095,0.054791833,-1.188738899
ENSMUSG00000019768,-1.105860866,3.598095128,-3.766210772,0.001626655,0.076773849,-1.737599711
ENSMUSG00000004151,-1.937053327,5.2567034,-5.680100791,3.11E-05,0.006830647,2.168258565
ENSMUSG00000028838,1.375973706,3.22756118,3.326959431,0.004153916,0.134165278,-2.559273088
ENSMUSG00000054422,1.901019814,2.590178506,3.066744361,0.00721385,0.185953207,-3.140178686
ENSMUSG00000024665,-1.14275766,2.9957103,-4.712466214,0.000220378,0.021242666,0.314291058
ENSMUSG00000024664,-1.170256725,4.945875946,-6.353956076,8.53E-06,0.003076744,3.488890388
ENSMUSG00000034871,-1.682556726,8.335033499,-4.794716044,0.00018583,0.019058622,0.225541058
ENSMUSG00000048388,1.069385848,1.265826957,3.668444589,0.002004363,0.085937576,-1.788570096
ENSMUSG00000048458,1.458437804,1.526547478,5.72449972,2.85E-05,0.006633883,2.458827744
ENSMUSG00000043681,2.44644431,4.944762843,3.531184206,0.002687202,0.102649691,-2.274667522
ENSMUSG00000030759,-1.000120805,5.749695773,-6.036059655,1.56E-05,0.004467315,2.799463553
ENSMUSG00000027386,-1.985255357,5.519621286,-4.326684611,0.00049436,0.036020011,-0.628974621
ENSMUSG00000021456,1.047823628,4.315277621,3.215133374,0.005268829,0.154930748,-2.916197245
ENSMUSG00000025738,1.189543602,-0.080334312,2.955855415,0.009111227,0.212578919,-3.246347246
ENSMUSG00000032507,-1.605204115,1.385726964,-5.701999876,2.98E-05,0.006787065,2.413386102
ENSMUSG00000035509,-1.113462373,1.274875006,-4.185509715,0.000666323,0.043496912,-0.68750927
ENSMUSG00000041556,2.294068135,4.547848459,4.383599485,0.000438476,0.033351939,-0.438744451
ENSMUSG00000026415,-1.282093263,-0.395629827,-4.791562829,0.000187047,0.019070785,0.250428148
ENSMUSG00000028001,1.593299845,3.869874503,2.788187725,0.012933701,0.265196233,-3.809204401
ENSMUSG00000048373,1.425293019,1.548150703,2.963980021,0.008957069,0.211298158,-3.268060344
ENSMUSG00000054252,-1.015090146,5.546794739,-3.088469578,0.006890299,0.181115949,-3.23371582
ENSMUSG00000033860,1.400929784,1.589200094,4.855163807,0.000164015,0.017630139,0.661619832
ENSMUSG00000060579,1.63006244,2.848368023,5.227233907,7.67E-05,0.010889712,1.334753624
ENSMUSG00000020635,-1.555264649,0.665508997,-6.435503089,7.32E-06,0.00291252,3.821908084
ENSMUSG00000028088,-2.031750983,6.430281546,-6.087127887,1.41E-05,0.004190068,2.901176363
ENSMUSG00000001773,1.03305983,1.737100657,3.149747979,0.006052456,0.167273496,-2.900101134
ENSMUSG00000016552,-1.268091556,3.237455546,-4.091690626,0.000813073,0.050127898,-1.035327755
ENSMUSG00000034687,-1.593687705,3.960907553,-7.80349012,6.50E-07,0.000577406,6.143869222
ENSMUSG00000023266,-1.580544443,0.639894218,-3.660461792,0.002038834,0.086851132,-1.80671589
ENSMUSG00000027004,-1.361867644,7.178555622,-6.559859481,5.82E-06,0.002492538,3.789731122
ENSMUSG00000055373,-1.115614253,8.165838038,-5.279504589,6.90E-05,0.010302218,1.181014395
ENSMUSG00000033676,-1.690416517,3.572347797,-4.255057123,0.000575107,0.039634734,-0.695072754
ENSMUSG00000015312,1.153342271,2.725403329,2.846054727,0.011465557,0.247232072,-3.604825903
ENSMUSG00000000420,-1.059968391,7.270285909,-4.960633012,0.000132024,0.015401615,0.580027189
ENSMUSG00000024064,-1.437252798,6.008631566,-5.063808995,0.000106901,0.013295002,0.881991583
ENSMUSG00000030498,-1.295127313,5.721053993,-5.654615492,3.27E-05,0.006967803,2.064884566
